"","x"
"525","North America"
"526","North America"
"527","North America"
"528","North America"
"529","North America"
"530","North America"
"531","North America"
"532","North America"
"533","North America"
"534","North America"
"535","North America"
"536","North America"
"537","North America"
"538","North America"
"539","North America"
"540","North America"
"541","North America"
"542","North America"
"543","North America"
"544","North America"
"545","North America"
"546","North America"
"547","North America"
"548","North America"
"549","North America"
"550","North America"
"551","North America"
"552","North America"
"553","North America"
"554","North America"
"555","North America"
"556","North America"
"557","North America"
"558","North America"
"559","North America"
"560","North America"
"561","North America"
"562","North America"
"563","North America"
"564","North America"
"565","North America"
"566","North America"
"567","North America"
"568","North America"
"569","North America"
"570","North America"
"571","North America"
"572","North America"
"573","North America"
"574","North America"
"575","North America"
"576","North America"
"577","North America"
"578","North America"
"579","North America"
"580","North America"
"581","North America"
"582","North America"
"583","North America"
"584","North America"
"585","North America"
"586","North America"
"587","North America"
"588","North America"
"589","North America"
"590","North America"
"591","North America"
"592","North America"
"593","North America"
"594","North America"
"595","North America"
"596","North America"
"597","North America"
"598","North America"
"599","North America"
"600","North America"
"601","North America"
"602","North America"
"603","North America"
"604","North America"
"605","North America"
"606","North America"
"607","North America"
"608","North America"
"609","North America"
"610","North America"
"611","North America"
"612","North America"
"613","North America"
"614","North America"
"615","North America"
"616","North America"
"617","North America"
"618","North America"
"619","North America"
"620","North America"
"621","North America"
"622","North America"
"623","North America"
"624","North America"
"625","North America"
"626","North America"
"627","North America"
"628","North America"
"629","North America"
"630","North America"
"631","North America"
"632","North America"
"633","North America"
"634","North America"
"635","North America"
"636","North America"
"637","North America"
"638","North America"
"639","North America"
"640","North America"
"641","North America"
"642","North America"
"643","North America"
"644","North America"
"645","North America"
"646","North America"
"647","North America"
"648","North America"
"649","North America"
"650","North America"
"651","North America"
"652","North America"
"653","North America"
"654","North America"
"655","North America"
"656","North America"
"657","North America"
"658","North America"
"659","North America"
"660","North America"
"661","North America"
"662","North America"
"663","North America"
"664","North America"
"665","North America"
"666","North America"
"667","North America"
"668","North America"
"669","North America"
"670","North America"
"671","North America"
"672","North America"
"673","North America"
"674","North America"
"675","North America"
"676","North America"
"677","North America"
"678","North America"
"679","North America"
"680","North America"
"681","North America"
"682","North America"
"683","North America"
"684","North America"
"685","North America"
"686","North America"
"687","North America"
"688","North America"
"689","North America"
"690","North America"
"691","North America"
"692","North America"
"693","North America"
"694","North America"
"695","North America"
"696","North America"
"697","North America"
"698","North America"
"699","North America"
"700","North America"
"701","North America"
"702","North America"
"703","North America"
"704","North America"
"705","North America"
"706","North America"
"707","North America"
"708","North America"
"709","North America"
"710","North America"
"711","North America"
"712","North America"
"713","North America"
"714","North America"
"715","North America"
"716","North America"
"717","North America"
"718","North America"
"719","North America"
"720","North America"
"721","North America"
"722","North America"
"723","North America"
"724","North America"
"725","North America"
"726","North America"
"727","North America"
"728","North America"
"729","North America"
"730","North America"
"731","North America"
"732","North America"
"733","North America"
"734","North America"
"735","North America"
"736","North America"
"737","North America"
"738","North America"
"739","North America"
"740","North America"
"741","North America"
"742","North America"
"743","North America"
"744","North America"
"745","North America"
"746","North America"
"747","North America"
"748","North America"
"749","North America"
"750","North America"
"751","North America"
"752","North America"
"753","North America"
"754","North America"
"755","North America"
"756","North America"
"757","North America"
"758","North America"
"759","North America"
"760","North America"
"761","North America"
"762","North America"
"763","North America"
"764","North America"
"765","North America"
"766","North America"
"767","North America"
"768","North America"
"769","North America"
"770","North America"
"771","North America"
"772","North America"
"773","North America"
"774","North America"
"775","North America"
"776","North America"
"777","North America"
"778","North America"
"779","North America"
"780","North America"
"781","North America"
"782","North America"
"783","North America"
"784","North America"
"785","North America"
"786","North America"
"787","North America"
"788","North America"
"789","North America"
"790","North America"
"791","North America"
"792","North America"
"793","North America"
"794","North America"
"795","North America"
"796","North America"
"797","North America"
"798","North America"
"799","North America"
"800","North America"
"801","North America"
"802","North America"
"803","North America"
"804","North America"
"805","North America"
"806","North America"
"807","North America"
"808","North America"
"809","North America"
"810","North America"
"811","North America"
"812","North America"
"813","North America"
"814","North America"
"815","North America"
"816","North America"
"817","North America"
"818","North America"
"819","North America"
"820","North America"
"821","North America"
"822","North America"
"823","North America"
"824","North America"
"825","North America"
"826","North America"
"827","North America"
"828","North America"
"829","North America"
"830","North America"
"831","North America"
"832","North America"
"833","North America"
"834","North America"
"835","North America"
"836","North America"
"837","North America"
"838","North America"
"839","North America"
"840","North America"
"841","North America"
"842","North America"
"843","North America"
"844","North America"
"845","North America"
"846","North America"
"847","North America"
"848","North America"
"849","North America"
"850","North America"
"851","North America"
"852","North America"
"853","North America"
"854","North America"
"855","North America"
"856","North America"
"857","North America"
"858","North America"
"859","North America"
"860","North America"
"861","North America"
"862","North America"
"863","North America"
"864","North America"
"865","North America"
"866","North America"
"867","North America"
"868","North America"
"869","North America"
"870","North America"
"871","North America"
"872","North America"
"873","North America"
"874","North America"
"875","North America"
"876","North America"
"877","North America"
"878","North America"
"879","North America"
"880","North America"
"881","North America"
"882","North America"
"883","North America"
"884","North America"
"885","North America"
"886","North America"
"887","North America"
"888","North America"
"889","North America"
"890","North America"
"891","North America"
"892","North America"
"893","North America"
"894","North America"
"895","North America"
"896","North America"
"897","North America"
"898","North America"
"899","North America"
"900","North America"
"901","North America"
"902","North America"
"903","North America"
"904","North America"
"905","North America"
"906","North America"
"907","North America"
"908","North America"
"909","North America"
"910","North America"
"911","North America"
"912","North America"
"913","North America"
"914","North America"
"915","North America"
"916","North America"
"917","North America"
"918","North America"
"919","North America"
"920","North America"
"921","North America"
"922","North America"
"923","North America"
"924","North America"
"925","North America"
"926","North America"
"927","North America"
"928","North America"
"929","North America"
"930","North America"
"931","North America"
"932","North America"
"933","North America"
"934","North America"
"935","North America"
"936","North America"
"937","North America"
"938","North America"
"939","North America"
"940","North America"
"941","North America"
"942","North America"
"943","North America"
"944","North America"
"945","North America"
"946","North America"
"947","North America"
"948","North America"
"949","North America"
"950","North America"
"951","North America"
"952","North America"
"953","North America"
"954","North America"
"955","North America"
"956","North America"
"957","North America"
"958","North America"
"959","North America"
"960","North America"
"961","North America"
"962","North America"
"963","North America"
"964","North America"
"965","North America"
"966","North America"
"967","North America"
"968","North America"
"969","North America"
"970","North America"
"971","North America"
"972","North America"
"973","North America"
"974","North America"
"975","North America"
"976","North America"
"977","North America"
"978","North America"
"979","North America"
"980","North America"
"981","North America"
"982","North America"
"983","North America"
"984","North America"
"985","North America"
"986","North America"
"987","North America"
"988","North America"
"989","North America"
"990","North America"
"991","North America"
"992","North America"
"993","North America"
"994","North America"
"995","North America"
"996","North America"
"997","North America"
"998","North America"
"999","North America"
"1000","North America"
"1001","North America"
"1002","North America"
"1003","North America"
"1004","North America"
"1005","North America"
"1006","North America"
"1007","North America"
"1008","North America"
"1009","North America"
"1010","North America"
"1011","North America"
"1012","North America"
"1013","North America"
"1014","North America"
"1015","North America"
"1016","North America"
"1017","North America"
"1018","North America"
"1019","North America"
"1020","North America"
"1021","North America"
"1022","North America"
"1023","North America"
"1024","North America"
"1025","North America"
"1026","North America"
"1027","North America"
"1028","North America"
"1029","North America"
"1030","North America"
"1031","North America"
"1032","North America"
"1033","North America"
"1034","North America"
"1035","North America"
"1036","North America"
"1037","North America"
"1038","North America"
"1039","North America"
"1040","North America"
"1041","North America"
"1042","North America"
"1043","North America"
"1044","North America"
"1045","North America"
"1046","North America"
"1047","North America"
"1048","North America"
"1049","North America"
"1050","North America"
"1051","North America"
"1052","North America"
"1053","North America"
"1054","North America"
"1055","North America"
"1056","North America"
"1057","North America"
"1058","North America"
"1059","North America"
"1060","North America"
"1061","North America"
"1062","North America"
"1063","North America"
"1064","North America"
"1065","North America"
"1066","North America"
"1067","North America"
"1068","North America"
"1069","North America"
"1070","North America"
"1071","North America"
"1072","North America"
"1073","North America"
"1074","North America"
"1075","North America"
"1076","North America"
"1077","North America"
"1078","North America"
"1079","North America"
"1080","North America"
"1081","North America"
"1082","North America"
"1083","North America"
"1084","North America"
"1085","North America"
"1086","North America"
"1087","North America"
"1088","North America"
"1089","North America"
"1090","North America"
"1091","North America"
"1092","North America"
"1093","North America"
"1094","North America"
"1095","North America"
"1096","North America"
"1097","North America"
"1098","North America"
"1099","North America"
"1100","North America"
"1101","North America"
"1102","North America"
"1103","North America"
"1104","North America"
"1105","North America"
"1106","North America"
"1107","North America"
"1108","North America"
"1109","North America"
"1110","North America"
"1111","North America"
"1112","North America"
"1113","North America"
"1114","North America"
"1115","North America"
"1116","North America"
"1117","North America"
"1118","North America"
"1119","North America"
"1120","North America"
"1121","North America"
"1122","North America"
"1123","North America"
"1124","North America"
"1125","North America"
"1126","North America"
"1127","North America"
"1128","North America"
"1129","North America"
"1130","North America"
"1131","North America"
"1132","North America"
"1133","North America"
"1134","North America"
"1135","North America"
"1136","North America"
"1137","North America"
"1138","North America"
"1139","North America"
"1140","North America"
"1141","North America"
"1142","North America"
"1143","North America"
"1144","North America"
"1145","North America"
"1146","North America"
"1147","North America"
"1148","North America"
"1149","North America"
"1150","North America"
"1151","North America"
"1152","North America"
"1153","North America"
"1154","North America"
"1155","North America"
"1156","North America"
"1157","North America"
"1158","North America"
"1159","North America"
"1160","North America"
"1161","North America"
"1162","North America"
"1163","North America"
"1164","North America"
"1165","North America"
"1166","North America"
"1167","North America"
"1168","North America"
"1169","North America"
"1170","North America"
"1171","North America"
"1172","North America"
"1173","North America"
"1174","North America"
"1175","North America"
"1176","North America"
"1177","North America"
"1178","North America"
"1179","North America"
"1180","North America"
"1181","North America"
"1182","North America"
"1183","North America"
"1184","North America"
"1185","North America"
"1186","North America"
"1187","North America"
"1188","North America"
"1189","North America"
"1190","North America"
"1191","North America"
"1192","North America"
"1193","North America"
"1194","North America"
"1195","North America"
"1196","North America"
"1197","North America"
"1198","North America"
"1199","North America"
"1200","North America"
"1201","North America"
"1202","North America"
"1203","North America"
"1204","North America"
"1205","North America"
"1206","North America"
"1207","North America"
"1208","North America"
"1209","North America"
"1210","North America"
"1211","North America"
"1212","North America"
"1213","North America"
"1214","North America"
"1215","North America"
"1216","North America"
"1217","North America"
"1218","North America"
"1219","North America"
"1220","North America"
"1221","North America"
"1222","North America"
"1223","North America"
"1224","North America"
"1225","North America"
"1226","North America"
"1227","North America"
"1228","North America"
"1229","North America"
"1230","North America"
"1231","North America"
"1232","North America"
"1233","North America"
"1234","North America"
"1235","North America"
"1236","North America"
"1237","North America"
"1238","North America"
"1239","North America"
"1240","North America"
"1241","North America"
"1242","North America"
"1243","North America"
"1244","North America"
"1245","North America"
"1246","North America"
"1247","North America"
"1248","North America"
"1249","North America"
"1250","North America"
"1251","North America"
"1252","North America"
"1253","North America"
"1254","North America"
"1255","North America"
"1256","North America"
"1257","North America"
"1258","North America"
"1259","North America"
"1260","North America"
"1261","North America"
"1262","North America"
"1263","North America"
"1264","North America"
"1265","North America"
"1266","North America"
"1267","North America"
"1268","North America"
"1269","North America"
"1270","North America"
"1271","North America"
"1272","North America"
"1273","North America"
"1274","North America"
"1275","North America"
"1276","North America"
"1277","North America"
"1278","North America"
"1279","North America"
"1280","North America"
"1281","North America"
"1282","North America"
"1283","North America"
"1284","North America"
"1285","North America"
"1286","North America"
"1287","North America"
"1288","North America"
"1289","North America"
"1290","North America"
"1291","North America"
"1292","North America"
"1293","North America"
"1294","North America"
"1295","North America"
"1296","North America"
"1297","North America"
"1298","North America"
"1299","North America"
"1300","North America"
"1301","North America"
"1302","North America"
"1303","North America"
"1304","North America"
"1305","North America"
"1306","North America"
"1307","North America"
"1308","North America"
"1309","North America"
"1310","North America"
"1311","North America"
"1312","North America"
"1313","North America"
"1314","North America"
"1315","North America"
"1316","North America"
"1317","North America"
"1318","North America"
"1319","North America"
"1320","North America"
"1321","North America"
"1322","North America"
"1323","North America"
"1324","North America"
"1325","North America"
"1326","North America"
"1327","North America"
"1328","North America"
"1329","North America"
"1330","North America"
"1331","North America"
"1332","North America"
"1333","North America"
"1334","North America"
"1335","North America"
"1336","North America"
"1337","North America"
"1338","North America"
"1339","North America"
"1340","North America"
"1341","North America"
"1342","North America"
"1343","North America"
"1344","North America"
"1345","North America"
"1346","North America"
"1347","North America"
"1348","North America"
"1349","North America"
"1350","North America"
"1351","North America"
"1352","North America"
"1353","North America"
"1354","North America"
"1355","North America"
"1356","North America"
"1357","North America"
"1358","North America"
"1359","North America"
"1360","North America"
"1361","North America"
"1362","North America"
"1363","North America"
"1364","North America"
"1365","North America"
"1366","North America"
"1367","North America"
"1368","North America"
"1369","North America"
"1370","North America"
"1371","North America"
"1372","North America"
"1373","North America"
"1374","North America"
"1375","North America"
"1376","North America"
"1377","North America"
"1378","North America"
"1379","North America"
"1380","North America"
"1381","North America"
"1382","North America"
"1383","North America"
"1384","North America"
"1385","North America"
"1386","North America"
"1387","North America"
"1388","North America"
"1389","North America"
"1390","North America"
"1391","North America"
"1392","North America"
"1393","North America"
"1394","North America"
"1395","North America"
"1396","North America"
"1397","North America"
"1398","North America"
"1399","North America"
"1400","North America"
"1401","North America"
"1402","North America"
"1403","North America"
"1404","North America"
"1405","North America"
"1406","North America"
"1407","North America"
"1408","North America"
"1409","North America"
"1410","North America"
"1411","North America"
"1412","North America"
"1413","North America"
"1414","North America"
"1415","North America"
"1416","North America"
"1417","North America"
"1418","North America"
"1419","North America"
"1420","North America"
"1421","North America"
"1422","North America"
"1423","North America"
"1424","North America"
"1425","North America"
"1426","North America"
"1427","North America"
"1428","North America"
"1429","North America"
"1430","North America"
"1431","North America"
"1432","North America"
"1433","North America"
"1434","North America"
"1435","North America"
"1436","North America"
"1437","North America"
"1438","North America"
"1439","North America"
"1440","North America"
"1441","North America"
"1442","North America"
"1443","North America"
"1444","North America"
"1445","North America"
"1446","North America"
"1447","North America"
"1448","North America"
"1449","North America"
"1450","North America"
"1451","North America"
"1452","North America"
"1453","North America"
"1454","North America"
"1455","North America"
"1456","North America"
"1457","North America"
"1458","North America"
"1459","North America"
"1460","North America"
"1461","North America"
"1462","North America"
"1463","North America"
"1464","North America"
"1465","North America"
"1466","North America"
"1467","North America"
"1468","North America"
"1469","North America"
"1470","North America"
"1471","North America"
"1472","North America"
"1473","North America"
"1474","North America"
"1475","North America"
"1476","North America"
"1477","North America"
"1478","North America"
"1479","North America"
"1480","North America"
"1481","North America"
"1482","North America"
"1483","North America"
"1484","North America"
"1485","North America"
"1486","North America"
"1487","North America"
"1488","North America"
"1489","North America"
"1490","North America"
"1491","North America"
"1492","North America"
"1493","North America"
"1494","North America"
"1495","North America"
"1496","North America"
"1497","North America"
"1498","North America"
"1499","North America"
"1500","North America"
"1501","North America"
"1502","North America"
"1503","North America"
"1504","North America"
"1505","North America"
"1506","North America"
"1507","North America"
"1508","North America"
"1509","North America"
"1510","North America"
"1511","North America"
"1512","North America"
"1513","North America"
"1514","North America"
"1515","North America"
"1516","North America"
"1517","North America"
"1518","North America"
"1519","North America"
"1520","North America"
"1521","North America"
"1522","North America"
"1523","North America"
"1524","North America"
"1525","North America"
"1526","North America"
"1527","North America"
"1528","North America"
"1529","North America"
"1530","North America"
"1531","North America"
"1532","North America"
"1533","North America"
"1534","North America"
"1535","North America"
"1536","North America"
"1537","North America"
"1538","North America"
"1539","North America"
"1540","North America"
"1541","North America"
"1542","North America"
"1543","North America"
"1544","North America"
"1545","North America"
"1546","North America"
"1547","North America"
"1548","North America"
"1549","North America"
"1550","North America"
"1551","North America"
"1552","North America"
"1553","North America"
"1554","North America"
"1555","North America"
"1556","North America"
"1557","North America"
"1558","North America"
"1559","North America"
"1560","North America"
"1561","North America"
"1562","North America"
"1563","North America"
"1564","North America"
"1565","North America"
"1566","North America"
"1567","North America"
"1568","North America"
"1569","North America"
"1570","North America"
"1571","North America"
"1572","North America"
"1573","North America"
"1574","North America"
"1575","North America"
"1576","North America"
"1577","North America"
"1578","North America"
"1579","North America"
"1580","North America"
"1581","North America"
"1582","North America"
"1583","North America"
"1584","North America"
"1585","North America"
"1586","North America"
"1587","North America"
"1588","North America"
"1589","North America"
"1590","North America"
"1591","North America"
"1592","North America"
"1593","North America"
"1594","North America"
"1595","North America"
"1596","North America"
"1597","North America"
"1598","North America"
"1599","North America"
"1600","North America"
"1601","North America"
"1602","North America"
"1603","North America"
"1604","North America"
"1605","North America"
"1606","North America"
"1607","North America"
"1608","North America"
"1609","North America"
"1610","North America"
"1611","North America"
"1612","North America"
"1613","North America"
"1614","North America"
"1615","North America"
"1616","North America"
"1617","North America"
"1618","North America"
"1619","North America"
"1620","North America"
"1621","North America"
"1622","North America"
"1623","North America"
"1624","North America"
"1625","North America"
"1626","North America"
"1627","North America"
"1628","North America"
"1629","North America"
"1630","North America"
"1631","North America"
"1632","North America"
"1633","North America"
"1634","North America"
"1635","North America"
"1636","North America"
"1637","North America"
"1638","North America"
"1639","North America"
"1640","North America"
"1641","North America"
"1642","North America"
"1643","North America"
"1644","North America"
"1645","North America"
"1646","North America"
"1647","North America"
"1648","North America"
"1649","North America"
"1650","North America"
"1651","North America"
"1652","North America"
"1653","North America"
"1654","North America"
"1655","North America"
"1656","North America"
"1657","North America"
"1658","North America"
"1659","North America"
"1660","North America"
"1661","North America"
"1662","North America"
"1663","North America"
"1664","North America"
"1665","North America"
"1666","North America"
"1667","North America"
"1668","North America"
"1669","North America"
"1670","North America"
"1671","North America"
"1672","North America"
"1673","North America"
"1674","North America"
"1675","North America"
"1676","North America"
"1677","North America"
"1678","North America"
"1679","North America"
"1680","North America"
"1681","North America"
"1682","North America"
"1683","North America"
"1684","North America"
"1685","North America"
"1686","North America"
"1687","North America"
"1688","North America"
"1689","North America"
"1690","North America"
"1691","North America"
"1692","North America"
"1693","North America"
"1694","North America"
"1695","North America"
"1696","North America"
"1697","North America"
"1698","North America"
"1699","North America"
"1700","North America"
"1701","North America"
"1702","North America"
"1703","North America"
"1704","North America"
"1705","North America"
"1706","North America"
"1707","North America"
"1708","North America"
"1709","North America"
"1710","North America"
"1711","North America"
"1712","North America"
"1713","North America"
"1714","North America"
"1715","North America"
"1716","North America"
"1717","North America"
"1718","North America"
"1719","North America"
"1720","North America"
"1721","North America"
"1722","North America"
"1723","North America"
"1724","North America"
"1725","North America"
"1726","North America"
"1727","North America"
"1728","North America"
"1729","North America"
"1730","North America"
"1731","North America"
"1732","North America"
"1733","North America"
"1734","North America"
"1735","North America"
"1736","North America"
"1737","North America"
"1738","North America"
"1739","North America"
"1740","North America"
"1741","North America"
"1742","North America"
"1743","North America"
"1744","North America"
"1745","North America"
"1746","North America"
"1747","North America"
"1748","North America"
"1749","North America"
"1750","North America"
"1751","North America"
"1752","North America"
"1753","North America"
"1754","North America"
"1755","North America"
"1756","North America"
"1757","North America"
"1758","North America"
"1759","North America"
"1760","North America"
"1761","North America"
"1762","North America"
"1763","North America"
"1764","North America"
"1765","North America"
"1766","North America"
"1767","North America"
"1768","North America"
"1769","North America"
"1770","North America"
"1771","North America"
"1772","North America"
"1773","North America"
"1774","North America"
"1775","North America"
"1776","North America"
"1777","North America"
"1778","North America"
"1779","North America"
"1780","North America"
"1781","North America"
"1782","North America"
"1783","North America"
"1784","North America"
"1785","North America"
"1786","North America"
"1787","North America"
"1788","North America"
"1789","North America"
"1790","North America"
"1791","North America"
"1792","North America"
"1793","North America"
"1794","North America"
"1795","Asia & Europe & Africa"
"1796","North America"
"1797","North America"
"1798","North America"
"1799","North America"
"1800","North America"
"1801","North America"
"1802","North America"
"1803","North America"
"1804","North America"
"1805","North America"
"1806","North America"
"1807","North America"
"1808","North America"
"1809","North America"
"1810","North America"
"1811","North America"
"1812","North America"
"1813","North America"
"1814","North America"
"1815","North America"
"1816","North America"
"1817","North America"
"1818","North America"
"1819","North America"
"1820","North America"
"1821","North America"
"1822","North America"
"1823","North America"
"1824","North America"
"1825","North America"
"1826","North America"
"1827","North America"
"1828","North America"
"1829","North America"
"1830","North America"
"1831","North America"
"1832","North America"
"1833","North America"
"1834","North America"
